# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.4026649714503783,0,2.0,0.3312017175275965,0.0,0.0,0.05300571869448222
 0.1266849216721069,1.0160486730458176,2.999887210804676,-0.4026649714503783,0.2533698433442138,2.0,0.3312017175275965,0.006715025320984213,5.805917672232467,0.3842109451201637
 0.17911449412041927,1.0320815820920926,2.999859714078923,-0.09826319022512907,0.3582289882408385,1.999999999999999,0.32899585116181773,0.026859040903596403,7.514089369710074,0.8350438673408219
 0.21931576519562632,1.0480988836118437,2.999916691121948,0.20381275340991728,0.4386315303912526,2.0,0.3267380209330012,0.06042886577425401,8.849658779065097,1.3874669963743458
 0.25318347752103426,1.0641007340780901,3.0000573232329573,0.5035304511173149,0.5063669550420685,2.0000000000000018,0.3244295048775272,0.10741919886845819,9.971331933775309,2.025718268507912
 0.28300175084090573,1.08008728996385,3.000280791711157,0.8008583520817896,0.5660035016818115,2.0,0.3220715899443051,0.16782261986788388,10.94653383709327,2.739607314016726
 0.30994246242633455,1.0960587077421424,3.000586277855754,1.095765763047057,0.6198849248526691,2.0,0.31966557015233715,0.24162959037213982,11.811880316811457,3.5218246117661183
 0.33470203300276735,1.1120151438859862,3.000972962965956,1.3882228473915275,0.6694040660055347,2.0,0.3172127446282428,0.32882845540498107,12.59001071322839,4.366766990833856
 0.35773440227296716,1.1279567548683997,3.0014400283409675,1.6782006232543754,0.7154688045459343,2.0,0.31471441584164866,0.42940544525478563,13.296127530161227,5.269936987524373
 0.3793550084896774,1.1438836971624025,3.0019866552799965,1.9656709607911516,0.7587100169793548,2.0,0.3121718877670396,0.5433446776489264,13.941047478261916,6.22760007549561
 0.39979361743531017,1.1597961272410129,3.002612025082249,2.2506065784918468,0.7995872348706203,2.0,0.30958646421072294,0.6706281602617742,14.532805791781474,7.236573116218611
 0.41922375806071516,1.1756942015772491,3.0033153190469326,2.532981038707861,0.8384475161214303,2.0,0.30695944704502476,0.811235793555927,15.07757505912623,8.294085912716671
 0.4377803032930465,1.1915780766441306,3.004095718473252,2.8127687422864076,0.875560606586093,2.0,0.3042921346144904,0.9651453739560962,15.580226543384155,9.397686386871094
 0.45557055682106706,1.2074479089146761,3.0049524046604157,3.089944922517207,0.9111411136421341,2.0,0.3015858201883077,1.1323325973553604,16.04469089438628,10.54517323157658
 0.47268155743103235,1.2233038548619042,3.005884558907629,3.3644856381977553,0.9453631148620647,2.0,0.29884179036838043,1.312771062953057,16.47419963816128,11.734546636451272
 0.489185068002895,1.2391460709588336,3.0068913625140996,3.6363677660891263,0.97837013600579,2.0,0.29606132370621724,1.506432277423746,16.78421982074679,12.896942109592079
 0.5052240158585343,1.2549747136784832,3.0079719967790326,3.905568992591671,1.0,1.3485837218807941,0.29324568918749555,1.7132856594166914,16.806121535850096,13.874595737009713
 0.5210812623786166,1.270789939493872,3.009125643001636,4.1720678048321105,1.0,0.0,0.2903961450516405,1.9332985443849382,16.642585041647003,14.709518120909191
 0.5369307037703883,1.2865919048780181,3.010351482481116,4.4358434810572716,1.0,0.0,0.2875139373888945,2.166436189743492,16.47718645016771,15.542522175933655
 0.552772765169747,1.3023807663039408,3.011648696516678,4.69687608048951,1.0,0.0,0.28460029903459677,2.4126617803555277,16.309996312282202,16.373418844988393
 0.5686078608479948,1.3181566802446587,3.0130164664075303,4.955146432606366,1.0,0.0,0.28165644821147306,2.671936434345943,16.141084338565136,17.202021644696803
 0.5844363942912875,1.3339198031731907,3.0144539734528784,5.210636125870352,1.0,0.0,0.2786835877256421,2.9442192092412713,15.970519340006215,18.028146700598217
 0.6002587582830464,1.3496702915625556,3.0159603989519295,5.463327496005356,1.0,0.0,0.27568290371763715,3.2294671084349647,15.798369167476608,18.85161277821968
 0.6160753349892342,1.365408301885772,3.017534924203889,5.713203613775422,1.0,0.0,0.2726555648285617,3.5276350879770253,15.624700659989543,19.67224131013457
 0.6318864960464011,1.3811339906158584,3.019176730507965,5.96024827238054,1.0,0.0,0.2696027212410494,3.838676063687016,15.449579589474997,20.489856419113163
 0.6476926026524025,1.396847514225834,3.0208849991633633,6.204445974389684,1.0,0.0,0.2665255038448836,4.16254091858918,15.27307061840482,21.304284937488426
 0.6634940056596917,1.4125490291887175,3.0226589114692906,6.445781918389887,1.0,0.0,0.2634250234817232,4.499178510668557,15.095237251636117,22.115356422858625
 0.6792910456710967,1.4282386919775274,3.0244976487249535,6.684241985235633,1.0,0.0,0.2603023702728845,4.848535680946935,14.916141798182913,22.922903170243057
 0.6950840531379808,1.4439166590652828,3.026400392229559,6.919812724031439,1.0,0.0,0.2571586127603779,5.210557261877247,14.735845333293769,23.726760220827515
 0.710873348460698,1.4595830869250024,3.0283663232823126,7.152481337828697,1.0,0.0,0.2539947976460404,5.585186086055192,14.554407665227695,24.526765367408725
 0.7266592420912482,1.4752381320297046,3.030394623182422,7.382235669087646,1.0,0.0,0.2508119489711517,5.972362995246567,14.371887303578804,25.322759156695536
 0.7424420346380431,1.4908819508524087,3.032484473229093,7.609064184905947,1.0,0.0,0.2476110676785861,6.372026849729145,14.188341433462188,26.11458488856024
 0.7582220169726888,1.5065146998661332,3.0346350547215324,7.8329559620839,1.0,0.0,0.24439313133049054,6.784114537947229,14.003825889922584,26.902088612406494
